name;sku;subtitle;description;category1;category2;category3;image;ribbon;ribbonColor;weight;price;recommended_price;quantity;enabled;taxClassCode;shipping_freight;fixed_shipping_rate_only;shippingType;shippingMethodMarkup;shippingFlatRate;shippingDisabledMethods;shippingEnabledMethods;upc;brand;seo_title;seo_description;product_url;product_id
2 kleine Wölfe;001pb-0203;Playback;"<p>Ein echter Klassiker, der in keiner Sammlung fehlen sollte. In diesem Lied darf gepfiffen werden und ihr könnt gesanglich die Stimmung der Wölfe nachahmen.
</p><ul>
	<li><em>Tonart: F-Dur</em></li>
	<li><em>Stimmumfang: c1 - d2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Stichworte</h5><p>Tiere, Wölfe, Nacht, dumdidadi, Mond, Wald, Natur, dunkel
</p>";Material für deinen Musikunterricht / Playbacks;Musik für Zuhause / Playbacks;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758919233.jpg;;;;4.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;2 kleine Wölfe |🎤Playback | minimusiker.de;... geh'n des Nachts im Dunkeln ... ba dum ba dum ...🎵Musik für Kinder ♥ Jetzt Playback im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/2-kleine-Wolfe/p/253644410;253644410
2 kleine Wölfe;001s-0202;Song;"<p>Ein echter Klassiker, der in keiner Sammlung fehlen sollte. In diesem Lied darf gepfiffen werden und ihr könnt gesanglich die Stimmung der Wölfe nachahmen.
</p><ul>
	<li><em>Tonart: F-Dur</em></li>
	<li><em>Stimmumfang: c1 - d2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/zweiwoelfe.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Tiere, Wölfe, Nacht, dumdidadi, Mond, Wald, Natur, dunkel
</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758917306.jpg;;;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;2 kleine Wölfe |🎵Kinderlied | minimusiker.de;...gehn des Nachts im Dunkeln ...Ba dum ba dum ♥ Musik für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/2-kleine-Wolfe/p/253644564;253644564
2 kleine Wölfe;001t-0205;Text;"<p>Ein echter Klassiker, der in keiner Sammlung fehlen sollte. In diesem Lied darf gepfiffen werden und ihr könnt gesanglich die Stimmung der Wölfe nachahmen.</p><ul><li><em>Tonart: F-Dur</em></li><li><em>Stimmumfang: c1 - d2</em></li><li><em>Level: einfach</em></li><li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li></ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 856px; box-sizing: border-box; text-rendering: optimizeSpeed;""></audio> </p><h5>Stichworte</h5><p>Tiere, Wölfe, Nacht, dumdidadi, Mond, Wald, Natur, dunkel</p>";Material für deinen Musikunterricht / Texte;Musik für Zuhause / Songtexte;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2698680634.jpg;;;;0.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;2 kleine Wölfe |📝Text | minimusiker.de;... gehen des Nachts im Dunkeln!🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/2-kleine-Wolfe/p/412965197;412965197
2 kleine Wölfe;001n-0204;Noten;"<p>Ein echter Klassiker, der in keiner Sammlung fehlen sollte. In diesem Lied darf gepfiffen werden und ihr könnt gesanglich die Stimmung der Wölfe nachahmen.
</p><ul>
	<li><em>Tonart: F-Dur</em></li>
	<li><em>Stimmumfang: c1 - d2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/zweiwoelfe.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Tiere, Wölfe, Nacht, dumdidadi, Mond, Wald, Natur, dunkel
</p>";Material für deinen Musikunterricht / Noten+;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/2698673124.jpg;;;;2.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;2 kleine Wölfe |🎼Noten | minimusiker.de;...gehn des Nachts im Dunkeln ...Ba dum ba dum 🎵Musik für Kinder ♥ Jetzt Noten im Minimusiker Shop runterladen und selber musizieren! ♫;https://minimusiker.de/shop/#!/2-kleine-Wolfe/p/413027177;413027177
3 Chinesen mit dem Kontrabass;002n-0156;Noten;"<p>Das bekannte Kinderlied macht durch seine sprachliche Spielmöglichkeit sehr viel Spaß. Probiert selbst einmal, alles deutlich mitzusingen. Garnicht so einfach ; )
</p><ul>
	<li><em>Tonart: E-Dur</em></li>
	<li><em>Stimmumfang: d#1 - c#2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/dreichinesen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Chinesen, Kontrabass, Strasse, Polizei, Klassiker
</p>";Material für deinen Musikunterricht / Noten+;;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758917353.jpg;;;;2.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Chinesen mit dem Kontrabass |🎼Noten | minimusiker.de;saßen auf der Straße und erzählten sich was ... 🎵Musik für Kinder ♥ Jetzt Noten im Minimusiker Shop runterladen und selber musizieren! ♫;https://minimusiker.de/shop/#!/3-Chinesen-mit-dem-Kontrabass/p/253644261;253644261
3 Chinesen mit dem Kontrabass;002pb-0155;Playback;"<p>Das bekannte Kinderlied macht durch seine sprachliche Spielmöglichkeit sehr viel Spaß. Probiert selbst einmal, alles deutlich mitzusingen. Garnicht so einfach ; )
				</p><ul>
	<li><em>Tonart: E-Dur</em></li>
	<li><em>Stimmumfang: d#1 - c#2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Stichworte</h5><p>Chinesen, Kontrabass, Strasse, Polizei, Klassiker
</p>";Material für deinen Musikunterricht / Playbacks;Musik für Zuhause / Playbacks;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758926100.jpg;;;;4.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Chinesen mit dem Kontrabass |🎤Playback | minimusiker.de;... saßen auf der Straße und erzählen sich was ... 🎵Musik für Kinder ♥ Jetzt Playback im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/3-Chinesen-mit-dem-Kontrabass/p/253644397;253644397
3 Chinesen mit dem Kontrabass;002s-0154;Song;"<p>Das bekannte Kinderlied macht durch seine sprachliche Spielmöglichkeit sehr viel Spaß. Probiert selbst einmal, alles deutlich mitzusingen. Garnicht so einfach ; )</p><ul>
	<li><em>Tonart: E-Dur</em></li>
	<li><em>Stimmumfang: d#1 - c#2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/dreichinesen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Chinesen, Kontrabass, Strasse, Polizei, Klassiker</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758914876.jpg;;#FCA726;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Chinesen mit dem Kontrabass |🎵Kinderlied | minimusiker.de;...saßen auf der Straße und erzählten sich was. ♥ Musik für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/3-Chinesen-mit-dem-Kontrabass/p/253644552;253644552
3 Chinesen mit dem Kontrabass;002t-0157;Text;"<p>Das bekannte Kinderlied macht durch seine sprachliche Spielmöglichkeit sehr viel Spaß. Probiert selbst einmal, alles deutlich mitzusingen. Garnicht so einfach ; )
</p><ul>
	<li><em>Tonart: E-Dur</em></li>
	<li><em>Stimmumfang: e1 - c2</em></li>
	<li><em>Level: einfach</em></li>
	<li><em>Geeignet für: Kindergarten & </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/dreichinesen.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Chinesen, Kontrabass, Strasse, Polizei, Klassiker
</p>";Musik für Zuhause / Songtexte;Material für deinen Musikunterricht / Texte;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758922239.jpg;;;;0.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Chinesen mit dem Kontrabass |📝Text | minimusiker.de;... saßen auf der Straße und erzählten sich was ... 🎵Musik für Kinder ♥ Jetzt kostenlose Texte im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/3-Chinesen-mit-dem-Kontrabass/p/253644688;253644688
3 Schweine saßen an der Leine;003pb-0119;Playback;"<p>Ein Lied, das in jedem Fall sehr viel Spaß macht. Mit ""Leine"" ist übrigens der Fluß bei Hannover gemeint.
				</p><ul>
	<li><em>Tonart: Es-Dur</em></li>
	<li><em>Stimmumfang: bb - bb1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
	<li><em>Geeignet für: </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Stichworte</h5><p>Tiere, Schweine, Leine, Fluss, Natur, witzig
</p>";Material für deinen Musikunterricht / Playbacks;Musik für Zuhause / Playbacks;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758919385.jpg;;;;4.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Schweine saßen an der Leine |🎤Playback | minimusiker.de;... an schönen heißen Tage! 🎵Musik für Kinder ♥ Jetzt Playback im Minimusiker Shop runterladen und selber mitsingen! ♫;https://minimusiker.de/shop/#!/3-Schweine-sassen-an-der-Leine/p/253644388;253644388
3 Schweine saßen an der Leine;003s-0118;Song;"<p>Ein Lied, das in jedem Fall sehr viel Spaß macht. Mit ""Leine"" ist übrigens der Fluß bei Hannover gemeint.
				</p><ul>
	<li><em>Tonart: Es-Dur</em></li>
	<li><em>Stimmumfang: bb - bb1</em></li>
	<li><em>Level: geübte Sänger*innen</em></li>
	<li><em>Geeignet für: </em><em>1.- 4. Grundschulklasse</em></li>
</ul><h5>Hörprobe</h5><p><audio controls="""" preload=""metadata"" rel=""width:100%;"" style=""width: 100%;"">
	<source src=""https://www.hoerthin.de/audiovorschau/dreischweine.mp3"" type=""audio/mpeg"">
	</audio>
</p><h5>Stichworte</h5><p>Tiere, Schweine, Leine, Fluss, Natur, witzig
</p>";Material für deinen Musikunterricht / Songs;Musik für Zuhause / Songs;;https://d2j6dbq0eux0bg.cloudfront.net/images/39150140/1758924253.jpg;;;;1.0;;;yes;default;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;3 Schweine saßen an der Leine |🎵Kinderlied | minimusiker.de;An nem schönen heißen Tage ♥ Musik für Kinder ♥ Jetzt MP3 im Minimusiker Shop runterladen und kräftig mitsingen! ♫;https://minimusiker.de/shop/#!/3-Schweine-sassen-an-der-Leine/p/253644543;253644543
